name;region_id;vineyard;year;grape_id;description;food_id;peak_year;preservation_advice;wine_type_id;image
Lalande-de-Pomerol ;1;PLAISIR DE SAURIAC;2016;1;Des notes de petits fruits rouges.;1;2022;16°C;1;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131536/vinage%20/plaisir_de_siaurac_pomerol_chyk5s.png
Saint-Emilion ;2;CHÂTEAU CHEVAL BLANC;1998;1;Porté par des notes fleuries et fraiches, du fruit lissé, travaillé, compoté, rehaussé par les notes d'élevage en barrique et des touches de menthe poivrée.;2;2049;16°C;1;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131538/vinage%20/chateau_de_fesles_cheval_blanc_twlwt7.png
Languedoc ;3;CHÂTEAU CAMPLAZENS ;2019;2;Un nez complexe, frais mêlant arômes de fruits noirs, fleurs et épices;1;2024;18°C;1;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131539/vinage%20/coteaux_de_narbonne_artxax.png
Haut-Médoc;1;CHÂTEAU LIVERSAN;2009;3;Nez est élégant, évoque la mûre, le cassis et la boite à cigare après quelques années;4;2021;16°C;1;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131538/vinage%20/chateau_liversan_haut_medoc_a4pyry.png
Bourgogne ;4;HENRI GERMAIN - 1er cru Bressandes;2013;4;Des touches d'épices et de cuir complexifient l'ensemble et annoncent une bouche dense et structurée par de beaux tanins;3;2021;16°C;1;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131537/vinage%20/1er_cru_bressandes_n91kvh.png
Chinon ;5;LACHETEAU - Vieille Vignes ;2015;5;Des arômes toastés, de la vanille mais aussi des fruits rouges et des épices.;4;2022;15°C;1;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131537/vinage%20/lacheteau_bourgueil_y3cqz6.png
Côtes de Bourg;1;CHÂTEAU LAROCHE JOUBERT;2016;6;Un vin sur le fruit au nez comme en bouche, avec boisé très discret, rond et équilibré, bâti en finesse sur des tanins délicats.;5;2020;17 °C;1;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131535/vinage%20/laroche_joubert_gfcdwp.png
Entre-Deux-Mers ;1;CHEVAL QUANCARD - Cuvée Clémence;2019;7;Des arômes très fins de citron, de fruits exotiques et de fleurs blanches. La bouche est un monument d'équilibre entre une franche vivacité, une texture soyeuse, tendre, presque suave, et une finale magistrale, pleine de tonus;6;2022;13°C;2;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131539/vinage%20/cuvee_clemence_entre_2_mers_tkfyog.png
Anjou;5;CHÂTEAU DE FESLES  - Anjou blanc;2015;8;Très bel équilibre gustatif, autour d’une attaque ronde et soyeuse.La complexité aromatique s’exprime sur des fruits secs, le sureau et le pain grillé;7;2025;12°C;2;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622196778/vinage%20/fesles-blanc_elrc4d.png
Coteau-du-layon ;5;CHÂTEAU SOUCHERIE - Patrimoine;2018;8;Arômes d'agrume, de pêche ou de poire et parfois aussi des arômes de miel, de terre ou de fruit (d'arbre fruitier).;8;2023;8 - 10°C;3;https://res.cloudinary.com/dmiifjsrk/image/upload/v1622131538/vinage%20/coteau_du_layon_soucherie_fvt3dy.png
